mission_name,launch_year,astronaut_name
Mercury-Atlas 6 (Friendship 7),1962,['John H. Glenn Jr.']
Mercury-Atlas 7 (Aurora 7),1962,['M. Scott Carpenter']
Mercury-Atlas 8 (Sigma 7),1962,['Walter M. Schirra Jr.']
Mercury-Atlas 9 (Faith 7),1963,['L. Gordon Cooper Jr.']
Mercury-Redstone 3 (Freedom 7),1961,['Alan B. Shepard Jr.']
Mercury-Redstone 4 (Liberty Bell 7),1961,['Virgil I. Grissom']
NS-16,2021,"['Wally Funk', 'Jeff Bezos', 'Mark Bezos', 'Oliver Daemen']"
NS-18,2021,"['William Shatner', 'Dr. Chris Boshuizen', 'Audrey Powers', 'Glen de Vries']"
NS-19,2021,"['Laura Shepard Churchley', 'Michael Strahan', 'Dylan Taylor', 'Evan Dick', 'Lane Bess', 'Cameron Bess']"
OSIRIS-REx,2016,[nan]
Pishgam,2013,[nan]
Progress M-01M,2008,[nan]
Progress M-24M,2014,[nan]
Rigel 04,1969,[nan]
STS-1 (Columbia),1981,"['John W. Young', 'Robert L. Crippen']"
STS-100 (Endeavour),2001,"['Kent V. Rominger', 'Jeffrey S. Ashby', 'Chris Hadfield', 'John L. Phillips', 'Scott E. Parazynski', 'Umberto Guidoni', 'Yury V. Lonchakov']"
STS-101 (Atlantis),2000,"['James D. Halsell Jr.', 'Scott J. Horowitz', 'James S. Voss', 'Yury Usachov', 'Jeffrey N. Williams', 'Mary E. Weber', 'Susan J. Helms']"
STS-102 (Discovery),2001,"['James D. Wetherbee', 'Andrew S. W. Thomas', 'Yury Usachov', 'James S. Voss', 'James M. Kelly', 'Paul W. Richards', 'Susan J. Helms']"
STS-103 (Discovery),1999,"['Curtis L. Brown Jr.', 'John M. Grunsfeld', 'Jean-FranÃ§ois Clervoy', 'C. Michael Foale', 'Steven L. Smith', 'Claude Nicollier', 'Scott J. Kelly']"
STS-104 (Atlantis),2001,"['Charles O. Hobaugh', 'Michael L. Gernhardt', 'James F. Reilly II', 'Janet L. Kavandi', 'Steven W. Lindsey']"
STS-105 (Discovery),2001,"['Scott J. Horowitz', 'Frederick W. Sturckow', 'Patrick G. Forrester', 'Daniel T. Barry', 'Frank L. Culbertson Jr.', 'Mikhail Tyurin', 'Vladimir N. Dezhurov']"
STS-106 (Atlantis),2000,"['Terrence W. Wilcutt', 'Scott D. Altman', 'Edward T. Lu', 'Richard A. Mastracchio', 'Daniel C. Burbank', 'Yuri Malenchenko', 'Boris Morukov']"
STS-107 (Columbia),2003,"['David M. Brown', 'Rick D. Husband', 'Kalpana Chawla', 'Michael P. Anderson', 'Ilan Ramon', 'Laurel B. Clark', 'William C. McCool']"
STS-108 (Endeavour),2001,"['Daniel W. Bursch', 'Mark E. Kelly', 'Dominic L. P. Gorie', 'Linda M. Godwin', 'Daniel M. Tani', 'Yury Onufriyenko', 'Carl E. Walz']"
STS-109 (Columbia),2002,"['Scott D. Altman', 'Duane G. Carey', 'John M. Grunsfeld', 'Nancy J. Currie-Gregg', 'Richard M. Linnehan', 'James H. Newman', 'Michael J. Massimino']"
STS-110 (Atlantis),2002,"['Michael J. Bloomfield', 'Rex J. Walheim', 'Ellen L. Ochoa', 'Jerry L. Ross', 'Steven L. Smith', 'Lee M. Morin', 'Stephen N. Frick']"
STS-111 (Endeavour),2002,"['Philippe Perrin', 'Franklin R. Chang DÃ\xadaz', 'Valery Korzun', 'Sergei Treshchov', 'Kenneth D. Cockrell', 'Paul S. Lockhart', 'Peggy A. Whitson']"
STS-112 (Atlantis),2002,"['Jeffrey S. Ashby', 'Pamela A. Melroy', 'Piers J. Sellers', 'Sandra H. Magnus', 'David A. Wolf', 'Fyodor Yurchikhin']"
STS-113 (Endeavour),2002,"['Donald R. Pettit', 'James D. Wetherbee', 'Michael E. LÃ³pez-AlegrÃ\xada', 'Kenneth D. Bowersox', 'Nikolai Budarin', 'John B. Herrington', 'Paul S. Lockhart']"
STS-114 (Discovery),2005,"['Charles J. Camarda', 'Eileen M. Collins', 'SÃ´ichi Noguchi', 'Stephen K. Robinson', 'Andrew S. W. Thomas', 'Wendy B. Lawrence', 'James M. Kelly']"
STS-115 (Atlantis),2006,"['Brent W. Jett', 'Heidemarie M. Stefanyshyn-Piper', 'Christopher J. Ferguson', 'Steve MacLean', 'Daniel C. Burbank', 'Joseph R. Tanner']"
STS-116 (Discovery),2006,"['Mark L. Polansky', 'Robert L. Curbeam Jr.', 'Christer Fuglesang', 'Sunita L. Williams', 'Joan E. Higginbotham', 'Nicholas J. M. Patrick', 'William A. Oefelein']"
STS-117 (Atlantis),2007,"['Frederick W. Sturckow', 'Lee J. Archambault', 'Patrick G. Forrester', 'Steven R. Swanson', 'John D. Olivas', 'James F. Reilly II', 'Clayton C. Anderson']"
